N,epsilon,cpu_time,ram_bytes
1001,4.4444443567406927e-8,0.752008875,162904144
661,1.0203039616895335e-7,0.014570292,27272720
469,2.0292039378563665e-7,0.007248875,13611072
349,3.6699390288987974e-7,0.00544325,7505248
271,6.096628210372284e-7,0.004322917,4550080
217,9.525978579411694e-7,0.00336375,3002048
177,1.4348006848208244e-6,0.002089875,1996288
147,2.0850234334630883e-6,0.001646416,1376144
123,2.9860469494372594e-6,0.00117025,955136
107,3.955525390646265e-6,0.001151334,737712
91,5.486940851199389e-6,0.001004167,548048
81,6.944400236852959e-6,0.00102425,436528
71,9.070219367405229e-6,0.000844875,331808
63,1.1561907748012344e-5,0.000198334,264736
57,1.4172151477388097e-5,0.000180833,221888
51,1.7777488056635317e-5,0.000166333,178352
45,2.295635802611327e-5,0.000141083,144224
41,2.777707045495922e-5,0.000118459,121760
39,3.077783273393062e-5,0.000156625,109712
35,3.844539625225e-5,0.000104292,90704
33,4.340105093615366e-5,0.000139125,83152
29,5.668639651901534e-5,8.1667e-5,66832
27,6.574225725649763e-5,7.6208e-5,58160
25,7.715503630206421e-5,9.2125e-5,52144
23,9.18196351714918e-5,6.6416e-5,44592
21,0.00011109979469733233,0.000135875,39712
19,0.00013715696360987084,6.2875e-5,33296
17,0.00017358348454273904,6.9583e-5,28848
15,0.00022671024193340097,5.2292e-5,23504
13,0.0003085546712412715,4.4084e-5,19760
11,0.0004442634306066908,3.8708e-5,15536
