N,epsilon,cpu_time,ram_bytes
1001,5.777767917685708e-7,0.034238958,61316752
661,1.326390067736307e-6,0.012775625,27272720
469,2.637945038376409e-6,0.008050666,13611072
349,4.77085506988842e-6,0.005857292,7505248
271,7.925435479492786e-6,0.003756667,4550080
217,1.2383329806387033e-5,0.003028292,3002048
177,1.8651405413024347e-5,0.004088459,1996288
147,2.7103185626007164e-5,0.002815958,1376144
123,3.881426442319512e-5,0.0019125,955136
107,5.141420450384452e-5,0.001358167,737712
91,7.131555912662742e-5,0.0012675,548048
81,9.025370344513665e-5,0.001562,436528
71,0.00011787276737194347,0.001045291,331808
63,0.00015023967712508046,0.000489084,264736
57,0.0001841401357091423,0.00019075,221888
51,0.00023095343385730354,0.000216,178352
45,0.0002981760825653093,0.000143667,144224
41,0.00036072637358895655,0.000119959,121760
39,0.0003996508378318858,0.000129416,109712
35,0.0004990711723120465,0.000114833,90704
33,0.0005632976357782495,8.5041e-5,83152
29,0.0007353616485831124,9.4042e-5,66832
27,0.0008525501324569538,7.7584e-5,58160
25,0.0010001259905742356,9.0208e-5,52144
23,0.001189566337848497,0.000151542,44592
21,0.0014383173577833938,8.1083e-5,39712
19,0.0017739396858697518,9.3917e-5,33296
17,0.002242037800473072,6.5583e-5,28848
15,0.002922490672802393,5.3e-5,23504
13,0.003965584177081368,0.000115958,19760
11,0.00568153183135533,5.7625e-5,15536
